member_id,amount,date,status
1,1500,2024-06-20,unpaid
2,3500,2025-10-27,paid
3,3500,2025-04-10,unpaid
4,1000,2025-04-05,paid
5,5000,2025-03-26,unpaid
6,2500,2024-08-25,paid
7,5000,2024-02-19,paid
8,1000,2025-10-03,paid
9,4000,2024-03-25,paid
10,5000,2024-03-16,paid
11,1000,2024-08-11,paid
12,2500,2025-03-01,paid
13,2000,2024-03-19,paid
14,1000,2025-11-21,unpaid
15,1500,2024-09-27,unpaid
16,2000,2025-01-19,paid
17,1000,2025-05-03,unpaid
18,3000,2024-04-26,paid
19,2500,2025-10-24,unpaid
20,4500,2024-05-22,paid
21,2500,2025-06-22,unpaid
22,2000,2024-07-16,paid
23,3000,2024-12-15,paid
24,2000,2025-09-25,paid
25,4000,2025-11-01,unpaid
26,2000,2024-08-23,unpaid
27,1000,2025-11-16,paid
28,5000,2025-03-17,paid
29,3000,2024-04-09,unpaid
30,1000,2024-01-09,paid
31,4000,2025-05-10,unpaid
32,4000,2024-07-23,paid
33,1000,2025-03-18,paid
34,5000,2024-12-04,unpaid
35,3000,2025-09-09,unpaid
36,5000,2024-04-09,paid
37,1000,2025-12-12,unpaid
38,2000,2024-12-13,paid
39,4000,2024-10-23,unpaid
40,3000,2025-03-12,unpaid
41,1500,2024-09-02,paid
42,4000,2024-10-16,unpaid
43,3500,2024-05-28,unpaid
44,4000,2024-11-04,paid
45,3000,2025-08-24,paid
46,1500,2025-06-02,paid
47,5000,2024-04-07,paid
48,1000,2025-04-18,paid
49,4500,2024-11-14,unpaid
50,3000,2025-04-02,unpaid
51,2500,2025-01-24,unpaid
52,4000,2024-12-23,paid
53,2500,2024-09-14,paid
54,3500,2025-03-16,unpaid
55,4500,2025-07-12,unpaid
56,4000,2025-11-12,paid
57,3000,2024-10-25,paid
58,2500,2025-08-12,paid
59,3000,2025-05-23,paid
60,3500,2024-08-21,paid
61,4500,2024-11-27,paid
62,1000,2025-02-08,paid
63,2000,2025-09-08,paid
64,2000,2024-10-04,paid
65,5000,2024-05-04,paid
66,2500,2024-07-16,paid
67,3000,2024-09-14,unpaid
68,3500,2025-04-05,paid
69,2500,2025-07-09,unpaid
70,4500,2025-05-17,paid
71,1000,2024-08-15,unpaid
72,3500,2025-12-10,unpaid
73,3500,2025-03-28,paid
74,1000,2025-03-11,paid
75,3000,2025-01-05,paid
76,5000,2024-06-26,unpaid
77,1000,2025-11-10,paid
78,2500,2025-04-13,unpaid
79,1500,2025-12-01,unpaid
80,4000,2025-06-04,unpaid
81,2000,2025-04-19,unpaid
82,1000,2025-07-13,paid
83,2000,2025-01-07,paid
84,2500,2025-12-19,unpaid
85,3500,2024-04-17,unpaid
86,4500,2024-02-20,unpaid
87,4500,2025-06-06,unpaid
88,1000,2025-07-07,unpaid
89,2000,2025-06-22,paid
90,2500,2025-03-20,paid
91,4000,2025-09-03,unpaid
92,2000,2024-07-08,paid
93,2500,2024-09-03,unpaid
94,2500,2025-06-09,unpaid
95,3500,2025-11-01,unpaid
96,4000,2024-05-27,paid
97,3500,2024-09-08,unpaid
98,2000,2024-08-23,unpaid
99,1000,2025-03-01,paid
100,1000,2025-07-26,unpaid
101,5000,2025-05-14,unpaid
102,2500,2025-06-27,paid
103,5000,2024-10-22,unpaid
104,3000,2024-08-18,unpaid
105,2000,2024-07-10,unpaid
106,1000,2024-04-16,paid
107,5000,2024-12-12,unpaid
108,2000,2024-09-10,unpaid
109,3500,2025-12-22,unpaid
110,5000,2025-09-04,paid
111,2000,2025-01-10,unpaid
112,4000,2024-01-19,paid
113,3500,2024-08-10,paid
114,1500,2025-09-17,unpaid
115,5000,2024-12-26,paid
116,4500,2024-07-22,paid
117,4000,2024-04-03,unpaid
118,4500,2025-12-25,paid
119,3000,2024-01-20,unpaid
120,1000,2024-01-13,unpaid
121,3500,2024-03-23,paid
122,3000,2025-08-13,paid
123,1500,2025-10-11,paid
124,2000,2025-09-11,unpaid
125,1500,2025-07-06,unpaid
126,5000,2024-08-12,unpaid
127,1000,2024-07-18,paid
128,4000,2025-11-13,unpaid
129,4000,2024-01-23,paid
130,1000,2024-04-17,paid
131,3500,2025-12-18,unpaid
132,4500,2024-07-17,unpaid
133,3500,2024-09-28,unpaid
134,2500,2024-05-25,paid
135,4500,2024-10-13,paid
136,2000,2024-02-11,unpaid
137,3000,2024-06-01,unpaid
138,4000,2024-07-09,unpaid
139,2500,2024-05-13,paid
140,4000,2024-08-04,unpaid
141,1000,2024-03-01,unpaid
142,3000,2025-10-05,paid
143,4000,2025-04-03,unpaid
144,4500,2025-09-19,unpaid
145,2500,2024-06-11,unpaid
146,3000,2024-10-21,unpaid
147,4000,2024-02-13,paid
148,4500,2025-06-11,paid
149,3500,2024-04-25,paid
150,5000,2024-04-14,unpaid
